netzero,reference
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.169,0
1.169,0
1.169,0
1.169,0
1.169,0
9.282,16.145
10.886,11.263
13.623,7.953
19.579,3.936
24.849,5.911
63.922,7.478
39.815,7.624
30.511,8.504
31.964,7.464
30.961,7.614
34.117,10.602
39.777,8.161
22.248,9.538
29.451,17.459
33.418,18.603
37.353,36.317
29.54,45.757
21.287,15.647
27.708,15.066
14.276,16.849
71.231,33.824
56.518,13.932
26.763,15.501
34.158,10.337
56.843,6.487
34.336,12.105
42.733,14.454
27.167,10.465
40.936,13.31
93.665,13.518
34.583,22.743
